id,fragrance,flowering_season,bloom_time,plant_type,primary_color
673,,,,Vine / Climber,Yellow
674,,,,Vine / Climber,Green
675,,,,Shrub / Small Tree,Golden Yellow
676,,,,Herb,Yellow
677,,,,Herb,White
678,,,,Shrub,Blue
679,,,,Shrub,Lavender
680,,,,Shrub / Small Tree,Golden Yellow
681,,,,Shrub / Small Tree,Yellow
682,,,,Vine / Climber,White
683,,,,Herb,Yellow
684,,,,Tree,White
685a,,,,Herb,Lavender
685b,,,,Herb,Lavender
686,,,,Shrub,Golden Yellow
687,,,,Herb,Yellow
688,,,,Herb,Orange
689,,,,Shrub / Small Tree,Orange
690,,,,Tree,Orange
691,,,,Vine / Climber,Yellow
692,,,,Herb,Yellow
693,,,,Shrub,Rose
694,,,,Vine / Climber,Yellow
695,,,,Shrub,Yellow
696,,,,Herb,Golden Yellow
697,,,,Herb,Yellow
698,,,,Shrub,White
699,,,,Shrub,White
700,,,,Shrub,White
701,,,,Shrub / Small Tree,White
702,,,,Herb,Yellow
703,,,,Herb,Golden Yellow
704,,,,Tree,Yellow
705,,,,Shrub / Small Tree,Golden Yellow
706,,,,Shrub,Yellow
707,,,,Shrub / Small Tree,Golden Yellow
708,,,,Shrub,Orange
709,,,,Shrub,Golden Yellow
710,,,,Shrub,Orange
711,,,,Tree,White
712,,,,Tree,Golden Yellow
713,,,,Shrub,Yellow
714,,,,Shrub,Golden Yellow
715,,,,Shrub,Golden Yellow
716,,,,Shrub,Golden Yellow
717,,,,Shrub,Golden Yellow
718,,,,Shrub / Small Tree,White
719,,,,Herb,Golden Yellow
720,,,,Small Tree,Yellow
721,,,,Vine / Climber,Magenta
722,,,,Herb,Yellow
723,,,,Herb,White
724,,,,Shrub,Pink
725,,,,Shrub,Pink
726,,,,Shrub,White
727,,,,Shrub,White
728,,,,Shrub,White
729,,,,Shrub,Pink
730,,,,Shrub,Pink
731,,,,Herb,White
732,,,,Vine / Climber,Magenta
733,,,,Shrub,Purple
734,,,,Tree,Magenta
735,,,,Herb,Blue Violet
736,,,,Herb,Purple
737,,,,Herb,Purple
738,,,,Herb,Magenta
739,,,,Herb,Lavender
740,,,,Herb,Magenta
741,,,,Small Tree,White
742,,,,Small Tree,Magenta
743,,,,Small Tree,Pink
744,,,,Shrub / Small Tree,White
745,,,,Herb,Purple
746,,,,Shrub,Purple
747,,,,Shrub,White
748,,,,Vine / Climber,White
749,,,,Herb,Pink
750,,,,Herb,Pink
751,,,,Herb,Purple
752,,,,Herb,Orange
753,,,,Herb,Red
754,,,,Herb,White
755,,,,Herb,Purple
756,,,,Herb,Orange
757,,,,Shrub,Purple
758,,,,Shrub,Red
759,,,,Shrub,Magenta
760,,,,Herb,Rose
761,,,,Shrub,Red
762,,,,Herb,Orange
763,,,,Herb,Mauve
764,,,,Tree,Golden Yellow
765,,,,Tree,Lavender
766,,,,Shrub,Purple
767,,,,Shrub / Small Tree,Lavender
768,,,,Vine / Climber,Pink
769,,,,Herb,Lavender
770,,,,Vine / Climber,White
771,,,,Vine / Climber,Purple
772,,,,Vine / Climber,White
773,,,,Shrub,Lavender
774,,,,Tree,Rose
775,,,,Vine / Climber,White
776,,,,Vine / Climber,Golden Yellow
777,,,,Vine / Climber,Red
778,,,,Herb,Red
779,,,,Herb,Pink
780,,,,Herb,Magenta
781,,,,Herb,Pink
782,,,,Herb,White
783,,,,Shrub,White
784,,,,Tree,Pink
785,,,,Tree,White
786,,,,Vine / Climber,Yellow
787,,,,Herb,Lavender
788,,,,Shrub,Orange
789,,,,Herb,Pink
790,,,,Herb,Pink
791,,,,Herb,Red
792,,,,Herb,Yellow
793,,,,Herb,Pink
794,,,,Herb,Magenta
795,,,,Tree,Orange
796,,,,Shrub,Red
797,,,,Herb,Purple
798,,,,Succulent,Yellow
799,,,,Herb,Orange
800,,,,Shrub,Red
801,,,,Shrub,Red
802,,,,Vine / Climber,Orange
803,,,,Vine / Climber,Red
804,,,,Shrub / Small Tree,White
805,,,,Tree,White
806,,,,Shrub,White
807,,,,Herb,Yellow
808,,,,Herb,Yellow
809,,,,Herb,White
810,,,,Small Tree,White
811,,,,Shrub,White
812,,,,Shrub / Small Tree,White
813,,,,Shrub,Yellow
814,,,,Shrub,White
815,,,,Shrub,Lavender
816,,,,Shrub,Pink
817,,,,Shrub / Small Tree,White
818,,,,Herb,Rose
819,,,,Herb,White
820,,,,Herb,Red
821,,,,Herb,Yellow
822,,,,Herb,Rose
823,,,,Herb,White
824,,,,Herb,Golden Yellow
825,,,,Small Tree,White
826,,,,Shrub / Small Tree,Rose
827,,,,Tree,Golden Yellow
828,,,,Herb,Magenta
829,,,,Vine / Climber,Purple
830,,,,Shrub,Purple
831,,,,Succulent,Orange
832,,,,Shrub,Orange
833,,,,Shrub,White
834,,,,Shrub,Red
835,,,,Succulent,Orange
836,,,,Shrub,Orange
837,,,,Shrub,Golden Yellow
838,,,,Shrub,Orange
839,,,,Shrub,White
840,,,,Shrub,White
841,,,,Tree,Maroon
